Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
587	finish_talk	NpcName: §a t¹! Cuèi cïng ta còng lÊy l¹i ®­îc B¶n Th¶o nµy råi!																						
588	get_talk	NpcName: <sex>, ta nghe nãi trong tay bän H¶i TÆc cßn gi÷ mét sè B¶n Th¶o cña ta, <sex> h·y gióp ta ®Õn Thanh ¢m §éng ®ßi vÒ nhĞ?	PlayerName: Kh«ng thµnh vÊn ®Ò! Ta sÏ lo liÖu!																			DiÖt Oa Quèc §ao Kh¸ch, ®o¹t l¹i B¶n Th¶o ThÊt L¹c 3		
588	finish_talk	NpcName: Hay l¾m! L¹i t×m ®­îc 1 tÊm råi!																						
589	get_talk	NpcName: <sex>, ta nghÜ nÕu bän Oa KhÊu kh«ng cßn n¾m gi÷ B¶n Th¶o nµo n÷a, sè cßn l¹i rÊt cã thÓ bŞ bän §«ng H¶i Ng­ Qu¸i lÊy mÊt! H·y gióp ta ®Õn chç §«ng H¶i Thñy Téc xem thö nhĞ?	PlayerName: Qu¸i mµ còng thİch ®äc th¬? Qu¸i thËt! Th«i ®Ó ta ®i xem thö.																			DiÖt §«ng H¶i Thñy Téc, ®o¹t l¹i B¶n Th¶o ThÊt L¹c 5		
589	finish_talk	NpcName: Hay l¾m! L¹i t×m ®­îc 1 tÊm råi!																						
590	get_talk	NpcName: Xu©n ®· vÒ, D­¬ng Ch©u trµn ngËp s¾c xu©n! <sex> cã muèn ®i d¹o D­¬ng Ch©u kh«ng?	PlayerName: Nghe hay ®Êy, cïng ®i nhĞ?																			§Õn D­¬ng Ch©u, nãi chuyÖn víi X¶o N÷		
590	finish_talk	NpcName: <sex> ®Õn D­¬ng Ch©u du lŞch µ? H«m nay lµ LÔ T×nh Nh©n, nÕu gióp ta mét viÖc, ta sÏ kÓ cho c¸c h¹ nghe mét c©u chuyÖn.																						
591	get_talk	NpcName: Hai h«m tr­íc, ta cã ®Õn ThÈm Viªn, chĞp vÒ mét sè B¶n Th¶o, nh­ng lì ®¸nh mÊt trªn ®­êng vÒ. H·y gióp ta t×m l¹i nhĞ?	PlayerName: ChuyÖn nhá, ta sÏ lÊy vÒ ngay.	NpcName: Vµi h«m tr­íc, mét trËn giã lín cuèn bay mÊt B¶n Th¶o ta míi chĞp vÒ, h·y gióp ta t×m l¹i nhĞ?	PlayerName: Th«i ®­îc, ta sÏ t×m gióp. C¸c h¹ lµm mÊt ë ®©u?	NpcName: H«m ®ã, ta võa tõ ThÈm Viªn vÒ, ®i ngang qua §«ng H¶i H¶i T©n 2, th× gÆp ph¶i bän H¶i TÆc chÆn ®­êng. Ta sî qu¸ luèng cuèng lµm mÊt B¶n Th¶o, h·y ®Õn ®ã t×m thö xem!	PlayerName: §­îc, ta ®Õn ®ã xem thö.															DiÖt H¶i TÆc, ®o¹t l¹i B¶n Th¶o ThÊt L¹c 2		
591	finish_talk	NpcName: §a t¹! Cuèi cïng ta còng lÊy l¹i ®­îc B¶n Th¶o nµy råi!																						
592	get_talk	NpcName: <sex>, ta nghe nãi trong tay bän H¶i TÆc cßn gi÷ mét sè B¶n Th¶o cña ta, <sex> h·y gióp ta ®Õn Thanh ¢m §éng ®ßi vÒ nhĞ?	PlayerName: Kh«ng thµnh vÊn ®Ò! Ta sÏ lo liÖu!																			Tiªu diÖt Oa Quèc §ao Kh¸ch, ®o¹t l¹i B¶n Th¶o ThÊt L¹c 4		
592	finish_talk	NpcName: Hay l¾m! L¹i t×m ®­îc 1 tÊm råi!																						
593	get_talk	NpcName: <sex>, ta nghÜ nÕu bän Oa KhÊu kh«ng cßn n¾m gi÷ B¶n Th¶o nµo n÷a, sè cßn l¹i rÊt cã thÓ bŞ bän §«ng H¶i Ng­ Qu¸i lÊy mÊt! H·y gióp ta ®Õn chç §«ng H¶i Thñy Téc xem thö nhĞ?	PlayerName: Qu¸i mµ còng thİch ®äc th¬? Qu¸i thËt! Th«i ®Ó ta ®i xem thö.																			DiÖt §«ng H¶i Thñy Téc, ®o¹t l¹i B¶n Th¶o ThÊt L¹c 6		
593	finish_talk	NpcName: Tèt råi! Cuèi cïng ®· lÊy l¹i ®Çy ®ñ!																						
594	get_talk	NpcName: §©y lµ vËt phÈm quı cña T©y Vùc, <sex> cã muèn xem kh«ng?	PlayerName: Xem ra còng nhiÒu hµng nhØ? §©y ®Òu lµ ®Æc s¶n cña T©y Vùc, c¸c vŞ chŞu khã thËt!	NpcName: Còng b×nh th­êng th«i, tõ T©y Vùc vÒ tuy xa x«i, nh­ng còng gÆp ®­îc ng­êi nµy viÖc kia, còng kh«ng thÊy vÊt v¶ cho l¾m.	PlayerName: Trªn ®­êng ®i cã chuyÖn g× l¹ kh«ng? KÓ ta nghe ®i!	NpcName: Th«i ®­îc, dï g× d¹o nµy còng ch¼ng ai hái mua. Cã mét hoang m¹c ë gÇn Long M«n TrÊn, ë ®ã cã mét qu¸n trä, xung quanh v¾ng vÎ, nh­ng qu¸n lóc nµo còng tÊp nËp kh¸ch ph­¬ng xa, ch¼ng hiÓu sao phÇn lín hä ë m·i kh«ng ®i, thËt kú l¹!	PlayerName: ThËt sao? VËy ta nhÊt ®Şnh ph¶i ®i xem thö. Ch¼ng hay qu¸n trä ®ã tªn g×? §Õn ®ã thÕ nµo?	NpcName: Qu¸n Trä Long M«n, n»m s©u trong hoang m¹c gÇn Long M«n TrÊn, ng­¬i ra khái thµnh Phông T­êng, ®i vÒ phİa t©y İt ngµy lµ thÊy ngay.	PlayerName: §a t¹ «ng chñ, ta ®i ®©y.	NpcName: <sex> ®i ®­êng cÈn thËn, b·o c¸t sa m¹c nguy hiÓm l¾m.												§Õn Long M«n TrÊn t×m ®­îc TiÓu Thóy bªn ®­êng		
594	finish_talk	NpcName: (Tù nhñ) Nhãm ng­êi lóc n·y thËt l¹, ch¼ng gièng ng­êi trªn giang hå chót nµo.	PlayerName: TiÓu c« n­¬ng ®ang nãi g× vËy?	NpcName: Khi ta ®Õn mua diÒu, thÊy mét nhãm ng­êi ¨n mÆc gièng ng­êi ®Õn tõ Liªu Quèc, nh­ng l¹i nãi giäng Trung Nguyªn, thËt kú l¹.	PlayerName: VËy sao? Ch¾c lµ th­¬ng nh©n ®Õn th¶o nguyªn lµm ¨n th«i.																			
595	get_talk	NpcName: Kh«ng ®©u, tõ ®©y ®Õn th¶o nguyªn ph¶i v­ît qua C«n L«n S¬n, ®­êng ®i rÊt hiÓm trë, th­¬ng nh©n Trung Nguyªn muèn ®Õn ®ã ®Òu chän h­íng ®i tõ Nh¹n M«n Quan.	PlayerName: VËy th× ®óng lµ kh¶ nghi thËt, hä ®i vÒ h­íng nµo?	NpcName: <sex>, hä ®i vÒ phİa Qu¸n Trä Long M«n	PlayerName: Yªn t©m ®i! ChuyÖn nµy ®Ó ta lo. (Qu¸n Trä Long M«n? Ch¼ng ph¶i lµ n¬i ta ®Şnh ®Õn hay sao)																	T×m thÊy D­¬ng Chiªu ngoµi Qu¸n Trä Long M«n		
595	finish_talk	NpcName: Ng­¬i lµ ai? Sao l¹i lĞn lót theo dâi ta?	PlayerName: Bæn ®¹i hiÖp thİch lo chuyÖn bao ®ång, nghe nãi ng­¬i hµnh tung kh¶ nghi, nªn ®Õn xem xem ng­¬i cã ph¶i lµ gian tÕ cña Thiªn ¢m Gi¸o kh«ng!																					
596	get_talk	NpcName: Ta thÊy ng­¬i lµ míi lµ gian tÕ! §Ó xem l¸t n÷a ng­¬i cßn c·i n÷a kh«ng!	PlayerName: Bæn ®¹i hiÖp còng ®ang ngøa tay ®©y!	NpcName: Trong thµnh ra tay kh«ng tiÖn, cã d¸m theo ta ra ngoµi thµnh ®Êu mét trËn kh«ng!	PlayerName: §­îc!																	H¹ D­¬ng Chiªu ngoµi Long M«n TrÊn		
596	finish_talk	NpcName: <sex> qu¶ lµ vâ nghÖ cao c­êng! Ta vèn lµ thuéc h¹ cña D­¬ng LÖnh C«ng, do b¹i trËn ë Kim Sa Than, bŞ qu©n Liªu b¾t mÊt. T¹i Bé L¹c V­¬ng Kú, ta gÆp ®­îc D­¬ng Diªn Huy, con trai thø t­ cña D­¬ng l·o lÖnh c«ng, nay h¾n ®æi tªn thµnh Môc NghÜa, chİnh h¾n cøu bän ta. Nay h¾n ë doanh tr¹i giÆc, sî l·o th¸i qu©n tr¸ch téi nªn kh«ng d¸m vÒ nhµ. Nghe nãi trËn Kim Sa Than thÊt b¹i kh«ng chØ v× qu©n lùc chªnh lÖch, cã thÓ cßn bİ mËt ch­a ®­îc tiÕt lé. Bän ta ®Õn Qu¸n Trä Long M«n lµ ®Ó th¨m dß tin tøc.	PlayerName: Th× ra lµ t­íng sÜ §¹i Tèng! ChuyÖn nµy ta gióp ®­îc g× kh«ng?	NpcName: Bän ta vèn lµ qu©n nh©n, kh«ng quen víi viÖc x· giao trong giang hå. NÕu ®­îc h·y gióp bän ta ®Õn Qu¸n Trä Long M«n th¨m dß tin tøc.	PlayerName: Cã thÓ gióp søc cho t­íng sÜ §¹i Tèng, lµ vinh h¹nh cña ta, chuyÖn nµy cø ®Ó ta lo!																			
597	get_talk	NpcName: Nghe nãi Qu¸n Trä Long M«n lµ n¬i tô héi nhiÒu tin tøc nhÊt thiªn h¹. LÇn nµy bän ta ®Õn ®©y, chØ muèn biÕt ®­îc sù thËt ®»ng sau trËn huyÕt chiÕn Kim Sa Than.	PlayerName: VËy ta sÏ ®Õn Qu¸n Trä Long M«n t×m hiÓu gióp c¸c h¹.																			T×m tiÓu nhŞ Qu¸n Trä Long M«n		
597	finish_talk	NpcName: Kh¸ch quan muèn nghØ ch©n hay ë trä? ™ ®©y cã T©y Phông Töu næi tiÕng, cã muèn gäi mét b×nh kh«ng?	PlayerName: Nghe nãi qu¸n trä nµy rÊt th¹o tin tøc, chØ cÇn bá tiÒn ra lµ cã thÓ mua ®­îc bÊt cø th«ng tin nµo m×nh muèn?	NpcName: DÜ nhiªn råi, chØ cÇn cã tiÒn, kh«ng cã tin g× lµ kh«ng mua ®­îc.																				
598	get_talk	NpcName: Muèn mua tin th× ph¶i xem cã ®ñ tiÒn kh«ng, kh«ng ®ñ th× bän ta kh«ng b¸n ®©u.	PlayerName: Kh«ng thµnh vÊn ®Ò, ng­¬i muèn kiÓm chøng tµi lùc thÕ nµo?	NpcName: H·y giao 1 viªn Tô Tµi Th¹ch cho ta, sau ®ã ta sÏ ra møc gi¸ theo th«ng tin mµ kh¸ch quan muèn biÕt.																		Giao 1 Tô Tµi Th¹ch cho TiÓu nhŞ		
598	finish_talk	NpcName: Kh¸ch quan ®· t×m ®­îc Tô Tµi Th¹ch råi sao, nhanh thËt nhØ!	PlayerName: Giê ta cã thÓ hái tin cÇn th¨m dß ch­a?																					
599	get_talk	NpcName: Kh¸ch quan ®· giao Tô Tµi Th¹ch, giê cã thÓ ®i t×m ch­ëng quü T«n NhŞ Liªn, «ng Êy phô tr¸ch viÖc t×m kiÕm th«ng tin.	PlayerName: §­îc!																			§èi tho¹i víi T«n NhŞ Liªn		
599	finish_talk	NpcName: <sex> t×m l·o phu cã viÖc g×?	PlayerName: Ta muèn t×m hiÓu chiÕn dŞch Kim Sa Than n¨m x­a, ch­ëng quü cã biÕt kh«ng?	NpcName: ChuyÖn Kim Sa Than n¨m x­a ai còng biÕt, sao l¹i ®Õn hái ta?	PlayerName: DÜ nhiªn ta biÕt chuyÖn diÔn ra thÕ nµo! Ta cÇn biÕt v× sao l¹i cã kÕt côc ®ã!																			
600	get_talk	NpcName: ChuyÖn l©u qu¸ råi, phİ dß th¸m sÏ rÊt cao, ng­¬i cã tr¶ næi kh«ng?	PlayerName: Nghe nãi Qu¸n Trä Long M«n biÕt hÕt mäi chuyÖn trong thiªn h¹? VËy ch¾c còng cÇn nhiÒu ng­êi gióp søc, ta nghÜ cã thÓ gióp c¸c vŞ lµm chót viÖc ®Ó bï trõ chi phİ?	NpcName: VËy µ? H·y ra ngoµi trÊn, ®¸nh b¹i Tµo ThiÕu Khanh, ®Ó ta xem thö n¨ng lùc nµo.	PlayerName: §­îc, ta sÏ ®i ngay.																	H¹ Tµo ThiÕu Khanh ngoµi trÊn		
600	finish_talk	NpcName: Xem ra b¶n lÜnh cña <sex> còng kh¸ ®Êy. Ta sÏ cö ng­êi ®i dß la tin tøc, nh­ng còng cÇn mét thêi gian.	PlayerName: §a t¹.																					
601	get_talk	NpcName: Trong lóc chê ®îi, c¸c h¹ cã muèn tr¶ hÕt phÇn chi phİ cßn l¹i kh«ng?	PlayerName: Ta cÇn lµm g×?	NpcName: GÇn ®©y cã ng­êi ®ang t×m §Şa HuyÒn Cung Än, h·y lÊy vÒ cho ta.	PlayerName: §Şa HuyÒn Cung Än lµ c¸i g×?	NpcName: Nghe nãi ®ã lµ tİn vËt ®Ó ra vµo §Şa HuyÒn Cung, ®Õn ®Õn ®ã t×m thö.	PlayerName: Cã manh mèi lµ ®­îc, cø chê tin cña ta.															§Õn §Şa HuyÒn Cung t×m §Şa HuyÒn Cung Än		
601	finish_talk	NpcName: Tèt l¾m, c¸c h¹ ®· t×m ®­îc §Şa HuyÒn Cung Än.	PlayerName: ChuyÖn nhá th«i mµ.																					
602	get_talk	NpcName: Cßn mét viÖc n÷a míi xong, c¸c h¹ lµm xong ch¾c còng cã tin tøc göi vÒ råi.	PlayerName: Cßn cÇn lµm g× n÷a? Ta nãi tr­íc, xong viÖc nµy lµ huÒ, ph¶i nãi ra tin tøc ta cÇn råi ®ã!	NpcName: §­¬ng nhiªn, Qu¸n Trä Long M«n ch­a g¹t ai bao giê.	PlayerName: Ta ph¶i lµm g×?	NpcName: Nghe nãi Vò L¨ng S¬n cã hËu duÖ cña MÆc Gia sinh sèng. Hä næi tiÕng lµ nh÷ng bËc thÇy chÕ t¹o c¬ quan, mau t×m 100 M¶nh C¬ Quan MÆc Gia cho ta.	PlayerName: NhiÖm vô cã vÎ h¬i khã, h·y chê tin cña ta.															T×m 100 M¶nh C¬ Quan MÆc Gia		
602	finish_talk	NpcName: , nhanh h¬n ta t­ëng ®Êy. <sex> cã høng thó lµm viÖc cho Qu¸n Trä Long M«n kh«ng?	PlayerName: Ta tù do quen råi, ch¾c lµ th«i.	NpcName: ThËt ®¸ng tiÕc.																				
603	get_talk	NpcName: Ta ®· nhËn ®­îc kÕt qu¶ tin tøc thiÕu hiÖp muèn hái.	PlayerName: Cã bİ mËt thËt sao?	NpcName: N¨m x­a hoµng th­îng cho qu©n b¾c ph¹t KhiÕt §an, tõ Nh¹n M«n Quan tiÕn qu©n ®¸nh bèn ch©u vïng YÕn V©n. C¸c c¸nh qu©n cïng lóc tiÕn c«ng quyÕt chiÕn víi KhiÕt §an. Tuy nhiªn gÆp ®Şch m¹nh vµ ®¹i b¹i ë Kú C©u Quan. Trong lóc rót qu©n, Phan Nh©n Mü vµ V­¬ng S»n Ğp D­¬ng NghiÖp ph¶i ®èi ®Çu trùc diÖn víi ®¹i qu©n KhiÕt §an, l¹i kh«ng tiÕp viÖn kŞp thêi, khiÕn D­¬ng NghiÖp ®¹i b¹i vµ tuÉn tiÕt.	PlayerName: ChuyÖn nµy ®Õn con nİt ba tuæi còng biÕt! Nãi c¸i g× míi h¬n ®i!	NpcName: §õng véi, kh«ng nãi phÇn tr­íc th× sao nãi phÇn sau ®­îc.	PlayerName: VËy mau nãi tiÕp ®i!	NpcName: ThiÕu hiÖp cã biÕt v× sao ®¸nh ®Õn lóc cuèi, ®¹i qu©n l¹i bá r¬i Kim Sa Than, khiÕn chñ t­íng D­¬ng NghiÖp tö trËn, b¾c ph¹t thÊt b¹i?	PlayerName: Kh«ng biÕt, v× thÕ ta míi ®Õn hái nguyªn nh©n.	NpcName: Tr­íc khi rót qu©n, con trai Phan Nh©n Mü lµ Phan B¸o bŞ qu©n Liªu b¾t gi÷, chóng kh«ng s¸t h¹i mµ cßn ®­a nhiÒu ch©u b¸u cho h¾n. Trªn ®­êng vÒ, Phan B¸o gÆp D­¬ng ThÊt Lang, ThÊt Lang ph¸t hiÖn h¾n ph¶n béi nªn lì tay s¸t h¹i, sau ®ã b¸o chuyÖn nµy cho Phan Nh©n Mü biÕt. Phan Nh©n Mü h¹ s¸t ThÊt Lang ®Ó tr¶ thï, sau ®ã ®­a qu©n rêi ®i, khiÕn D­¬ng NghiÖp mÊt hÕt viÖn qu©n.	PlayerName: Hõ! V× tr¶ thï c¸ nh©n mµ khiÕn toµn qu©n bŞ diÖt!	NpcName: Nay Phan Nh©n Mü ®· kh«ng cßn, nh­ng D­¬ng Gia còng chØ cßn l¹i phô n÷ vµ trÎ em!	PlayerName: Ta sÏ b¸o chuyÖn nµy cho D­¬ng Chiªu biÕt.	NpcName: D­¬ng Chiªu? Ta còng ®ang t×m h¾n, ta muèn x¸c nhËn mét tin tøc.	PlayerName: Tin g×?	NpcName: Nghe nãi D­¬ng Tø Lang ®· theo Liªu Quèc, kh«ng biÕt cã thËt kh«ng?	PlayerName: Ta kh«ng biÕt ng­¬i ®ang nãi g×.	NpcName: Ha ha, nh×n vÎ mÆt ta còng ®o¸n ®­îc råi! Chç ta cßn mét tin, ng­¬i muèn biÕt kh«ng? Tin vÒ D­¬ng Chiªu vµ ng­êi ®øng sau l­ng h¾n..	PlayerName: Muèn, nãi ®i!	NpcName: Ta võa nhËn mét nhiÖm vô, cã ng­êi muèn ®èi phã T©n Di Hoa ë D­îc V­¬ng Cèc, h·y ®¸nh b¹i c« ta, lÊy Cöu ChuyÓn Minh Huy Lé vÒ cho ta.	PlayerName: §­îc, ta sÏ ®i ngay.	LÊy ®­îc Cöu ChuyÓn Minh Huy Lé tõ tay T©n Di Hoa		
603	finish_talk	NpcName: VÒ nhanh vËy, xong viÖc ch­a?	PlayerName: §­¬ng nhiªn råi.																					
604	get_talk	NpcName: GÇn ®©y cã ng­êi tõ BiÖn Kinh ®Õn, t×m kiÕm dÊu tİch cña D­¬ng Tø Lang. Ta nghÜ cã ng­êi muèn lîi dông chuyÖn nµy ®Ó lµm khã Thiªn Ba Phñ.	PlayerName: Qu¶ lµ tin quan träng! Xem ra kh«ng uæng c«ng ta lµm nhiÖm vô bÊy l©u!	NpcName: Qu¸n Trä Long M«n, kh«ng bao giê cã tin tøc v« dông.	PlayerName: NÕu kh«ng cßn chuyÖn g× n÷a th× ta ®i tr­íc nhĞ.	NpcName: §­îc, hy väng chóng ta sÏ cßn gÆp l¹i.	PlayerName: T¹m biÖt. (NhiÖm vô hoµn thµnh råi, mau b¸o víi D­¬ng Chiªu)															Håi B¸o D­¬ng Chiªu		
604	finish_talk	NpcName: <sex> vÒ råi sao, ®· t×m ®­îc th«ng tin g× ch­a?	PlayerName: Ta ®· dß la kü, trËn Kim Sa Than n¨m x­a..., kÕt qu¶ lµ vËy ®ã.	NpcName: §a t¹ thiÕu hiÖp! Giê bän ta ®· hoµn thµnh nhiÖm vô, cã thÓ vÒ phôc mÖnh råi.	PlayerName: Cã thÓ gióp ®­îc c¸c vŞ, ®ã lµ vinh h¹nh cña ta.																			
605	get_talk	NpcName: <sex> cßn chuyÖn g× muèn nãi?	PlayerName: Cßn mét chuyÖn nµy, ®ang cã kÎ dß la tin tøc cña c¸c vŞ, ta ngê r»ng chóng muèn ®èi phã Thiªn Ba Phñ.	NpcName: §a t¹ <sex>, xin <sex> gióp ta b¾t lÊy h¾n, tr¸nh ®Ó lé tin tøc.	PlayerName: §­îc.																	H¹ Th¸m Tö BiÖn Kinh		
605	finish_talk	NpcName: §a t¹ thiÕu hiÖp! May mµ cã thiÕu hiÖp gióp ®ì, mäi chuyÖn míi ®­îc thuËn lîi nh­ vËy.	PlayerName: Kh«ng cÇn kh¸ch s¸o.																					
606	get_talk	NpcName: Bän ta chuÈn bŞ quay vÒ th¶o nguyªn, ®Õn chµo t¹m biÖt. H·y thay ta ®a t¹ ch­ëng quü cña Qu¸n Trä Long M«n, nÕu kh«ng cã th«ng tin cña «ng Êy, ch¾c mäi chuyÖn ®· vì lì.	PlayerName: §õng kh¸ch s¸o, ta sÏ chuyÓn lêi ®Õn T«n ch­ëng quü.	NpcName: §a t¹ thiÕu hiÖp, c¸o tõ.	PlayerName: C¸o tõ.																	ChuyÓn lêi D­¬ng Chiªu ®Õn T«n NhŞ Liªn		
606	finish_talk	NpcName: C¬n giã nµo ®­a <sex> ®Õn ®©y vËy?	PlayerName: Ta s¾p ®i råi, nªn ®Õn c¸o tõ. D­¬ng Chiªu nhê ta chuyÓn lêi c¶m t¹, th«ng tin cña c¸c h¹ ®· gióp h¾n rÊt nhiÒu.	NpcName: Kh«ng cÇn kh¸ch s¸o, <sex> kh«ng ®inh gia nhËp Qu¸n Trä Long M«n thËt sao?	PlayerName: Ta häc vâ kh«ng ph¶i ®Ó kiÕm tiÒn, mµ lµ hµnh hiÖp tr­îng nghÜa.	NpcName: ThiÕu hiÖp cã hoµi b·o lín, ta còng kh«ng Ğp. H·y ®Õn ch¬i th­êng xuyªn, tiÖn tay cã thÓ lµm vµi nhiÖm vô, kiÕm İt tiÒn tiªu.	PlayerName: Còng ®­îc, sau nµy cÇn cø gäi ta.	NpcName: NÕu muèn nhËn nhiÖm vô, cã thÓ t×m ta hoÆc Lı Hoa. Khi ®iÓm nhiÖm vô ®¹t møc yªu cÇu, cã thÓ t×m Lı L·o ®æi vËt phÈm. Chç ta tuy v¾ng vÎ, nh­ng còng lµ ®iÓm dõng ch©n quan träng trªn Con §­êng T¬ Lôa, ch¾c ch¾n sÏ cã thø thiÕu hiÖp cÇn. (Kİch ho¹t Danh Väng Qu¸n Trä Long M«n: Cã thÓ gÆp T«n NhŞ Liªn nhËn nhiÖm vô tuÇn, gÆp Lı Hoa nhËn nhiÖm vô ngµy, gÆp Lı L·o ®æi th­ëng)	PlayerName: §­îc, t¹m biÖt.															
607	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 5 Hu©n Ch­¬ng Anh Hïng, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 5 Hu©n Ch­¬ng Anh Hïng		
607	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
608	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 2 Hµo HiÖp LÖnh, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 2 Hµo HiÖp LÖnh		
608	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
609	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 5 M¶nh Thiªn Th¹ch, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 5 M¶nh Thiªn Th¹ch		
609	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
610	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 Thiªn Th¹ch, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 Thiªn Th¹ch		
610	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
611	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 ThiÕt Tinh CÊp 4, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 ThiÕt Tinh CÊp 4		
611	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
612	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 H¾c DiÖu Th¹ch CÊp 2, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 H¾c DiÖu Th¹ch CÊp 2		
612	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
613	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 HuyÕt Trİch Th¹ch CÊp 2, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 HuyÕt Trİch Th¹ch CÊp 2		
613	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
614	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 NguyÖt B¹ch Th¹ch CÊp 2, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 NguyÖt B¹ch Th¹ch CÊp 2		
614	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
615	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 Hæ Ph¸ch Th¹ch CÊp 2, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 Hæ Ph¸ch Th¹ch CÊp 2		
615	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
616	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 §«n Hoµng HuyÒn ThiÕt, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 §«n Hoµng HuyÒn ThiÕt		
616	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
617	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 §«n Hoµng HuyÒn Tinh, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 §«n Hoµng HuyÒn Tinh		
617	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
618	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 §«n Hoµng M· N·o, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 §«n Hoµng M· N·o		
618	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
619	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 1 §«n Hoµng Hæ Ph¸ch, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 1 §«n Hoµng Hæ Ph¸ch		
619	finish_talk	NpcName: Còng nhanh tay ®Êy, xem ra ng­¬i rÊt ®­îc viÖc.	PlayerName: ChuyÖn nhá th«i mµ.																					
620	get_talk	NpcName: H«m nay ta nhËn mét vô lµm ¨n, kh¸ch hµng muèn cã 20 HiÖp NghÜa Chi Chøng, giao cho ng­¬i lµm ®Êy.	PlayerName: H·y giao cho ta																			T×m 20 HiÖp NghÜa Chi Chøng		
