Task_Name	Task_ID	Task_Flag	From_NPC	To_NPC	Ex_Condition	Finish_Condition	Task_Action	Task_Prize	Action_Room_Weight	Prize_Room_Weight	Cancel_Task	Skip_Task	Skip_Is_NeedConditionItem	Skip_Cost_No_Item
B¸o thï	569	0	Long V©n	Long V©n		30596	30745	30744&30752	1;0	1;10	-1	2;97;236;2		
Truy s¸t	570	0	Long V©n	Long V©n		30597	30746	30744&30753	1;0	1;10	-1	2;97;236;2		
DiÖt T­îng Ng­êi (NhuËn H¹)	571	0	Vui mõng	Vui mõng		30598	30747	30743&30754	1;0	1;10	-1	-1		
DiÖt T­îng Ng­êi (Viªm Th­îng)	572	0	Vui mõng	Vui mõng		30599	30748	30743&30755	1;0	1;10	-1	-1		
DiÖt T­îng Ng­êi (Khóc Trùc)	573	0	Vui mõng	Vui mõng		30600	30749	30743&30756	1;0	1;10	-1	-1		
DiÖt T­îng Ng­êi (Tßng C¸ch)	574	0	Vui mõng	Vui mõng		30601	30750	30743&30757	1;0	1;10	-1	-1		
DiÖt T­îng Ng­êi (Gi¸ S¾c)	575	0	Vui mõng	Vui mõng		30602	30751	30743&30758	1;0	1;10	-1	-1		
Cùc H¹n Vâ §¹o	576	0	Tr­ëng l·o B¸ch HiÓu Sinh	ThÇy bãi	30614			30762	1;0	1;0	-1	-1		
Bãi QuÎ	577	0	ThÇy bãi	ThÇy bãi	30002			30762	1;0	1;0	-1	-1		
T×m Ng­êi	578	0	ThÇy bãi	Kim Kha	30002			30762	1;0	1;0	-1	-1		
V­ît ¶i	579	0	Kim Kha	Kim Kha	30002	30604&30605		30762	1;0	1;0	-1	2;95;204;1		
RÌn luyÖn	580	0	Kim Kha	Kim Kha	30002	30607&30608&30609		30762	1;0	1;0	-1	2;95;204;1		
§å Ma	581	0	Kim Kha	Kim Kha	30002	30610		30762	1;0	1;0	-1	2;95;204;1		
Tr¶m Tiªn	582	0	Kim Kha	Kim Kha	30002	30611		30762	1;0	1;0	-1	2;95;204;1		
T×m Lß	583	0	Kim Kha	Kim Kha	30002	30612		30762	1;0	1;0	-1	2;95;204;1		
ChÕ thuèc	584	0	Kim Kha	Kim Kha	30002	30613	30761	30759	2;0	2;0	-1	-1		
Ban Mai	585	0	Kim Kha	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30759	1;0	1;0	-1	-1		
§¹p Xu©n	586	0		X¶o n÷	30622&30213			30763	1;0	1;0				
T×nh Cê (Nh©n vËt nam nhËn)	587	0	X¶o n÷	X¶o n÷	30002	30616		30763	1;0	1;0	10	-1		
§o¹t S¸ch Thanh ¢m	588	0	X¶o n÷	X¶o n÷	30002	30618		30763	1;0	1;0	10	-1		
T×m S¸ch §«ng H¶i	589	0	X¶o n÷	X¶o n÷	30002	30620		30763&30772	1;0	1;0	10	-1		
§¹p Xu©n	590	0		X¶o n÷	30622&30214			30763	1;0	1;0				
T×nh Cê (Nh©n vËt n÷ nhËn)	591	0	X¶o n÷	X¶o n÷	30002	30617		30763	1;0	1;0	10	-1		
§o¹t S¸ch Thanh ¢m	592	0	X¶o n÷	X¶o n÷	30002	30619		30763	1;0	1;0	10	-1		
T×m S¸ch §«ng H¶i	593	0	X¶o n÷	X¶o n÷	30002	30621		30763&30773	1;0	1;0	10	-1		
Qu¸n Trä Long M«n (1)	594	0	Th­¬ng nh©n Ba T­	TiÓu Thóy				30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (2)	595	0	TiÓu Thóy	D­¬ng Chiªu	30002			30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (3)	596	0	D­¬ng Chiªu	D­¬ng Chiªu	30002	30623	30774	30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (4)	597	0	D­¬ng Chiªu	TiÓu nhÞ	30002			30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (5)	598	0	TiÓu nhÞ	TiÓu nhÞ	30002	30624		30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (6)	599	0	TiÓu nhÞ	T«n NhÞ Liªn	30002			30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (7)	600	0	T«n NhÞ Liªn	T«n NhÞ Liªn	30002	30625	30775	30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (8)	601	0	T«n NhÞ Liªn	T«n NhÞ Liªn	30002	30626		30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (9)	602	0	T«n NhÞ Liªn	T«n NhÞ Liªn	30002	30627		30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (10)	603	0	T«n NhÞ Liªn	T«n NhÞ Liªn	30002	30628		30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (11)	604	0	T«n NhÞ Liªn	D­¬ng Chiªu	30002			30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (12)	605	0	D­¬ng Chiªu	D­¬ng Chiªu	30002	30629	30776	30777	1;0	1;0	-1	2;97;236;10		
Qu¸n Trä Long M«n (13)	606	0	D­¬ng Chiªu	T«n NhÞ Liªn	30002			30777&30819	1;0	1;0	-1	2;97;236;10		
T×m §¹o Cô 1 (TuÇn)	607	0		T«n NhÞ Liªn	30702	30630		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 2 (TuÇn)	608	0		T«n NhÞ Liªn	30702	30631		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 3 (TuÇn)	609	0		T«n NhÞ Liªn	30702	30632		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 4 (TuÇn)	610	0		T«n NhÞ Liªn	30702	30633		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 5 (TuÇn)	611	0		T«n NhÞ Liªn	30702	30634		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 6 (TuÇn)	612	0		T«n NhÞ Liªn	30702	30635		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 7 (TuÇn)	613	0		T«n NhÞ Liªn	30702	30636		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 8 (TuÇn)	614	0		T«n NhÞ Liªn	30702	30637		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 9 (TuÇn)	615	0		T«n NhÞ Liªn	30702	30638		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 10 (TuÇn)	616	0		T«n NhÞ Liªn	30702	30639		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 11 (TuÇn)	617	0		T«n NhÞ Liªn	30702	30640		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 12 (TuÇn)	618	0		T«n NhÞ Liªn	30702	30641		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 13 (TuÇn)	619	0		T«n NhÞ Liªn	30702	30642		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 14 (TuÇn)	620	0		T«n NhÞ Liªn	30702	30643		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 15 (TuÇn)	621	0		T«n NhÞ Liªn	30702	30644		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 16 (TuÇn)	622	0		T«n NhÞ Liªn	30702	30645		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 17 (TuÇn)	623	0		T«n NhÞ Liªn	30702	30646		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 18 (TuÇn)	624	0		T«n NhÞ Liªn	30702	30647		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 19 (TuÇn)	625	0		T«n NhÞ Liªn	30702	30648		30798	1;0	1;0	-1	1000000		1
T×m §¹o Cô 20 (TuÇn)	626	0		T«n NhÞ Liªn	30702	30649		30798	1;0	1;0	-1	1000000		1
DiÖt §Þch 1 (TuÇn)	627	0		T«n NhÞ Liªn	30702	30650	30778	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 2 (TuÇn)	628	0		T«n NhÞ Liªn	30702	30651	30779	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 3 (TuÇn)	629	0		T«n NhÞ Liªn	30702	30652	30780	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 4 (TuÇn)	630	0		T«n NhÞ Liªn	30702	30653	30781	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 5 (TuÇn)	631	0		T«n NhÞ Liªn	30702	30654	30782	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 6 (TuÇn)	632	0		T«n NhÞ Liªn	30702	30655	30783	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 7 (TuÇn)	633	0		T«n NhÞ Liªn	30702	30656	30784	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 8 (TuÇn)	634	0		T«n NhÞ Liªn	30702	30657	30785	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 9 (TuÇn)	635	0		T«n NhÞ Liªn	30702	30658	30786	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 10 (TuÇn)	636	0		T«n NhÞ Liªn	30702	30659	30787	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 11 (TuÇn)	637	0		T«n NhÞ Liªn	30702	30660	30788	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 12 (TuÇn)	638	0		T«n NhÞ Liªn	30702	30661	30789	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 13 (TuÇn)	639	0		T«n NhÞ Liªn	30702	30662	30790	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 14 (TuÇn)	640	0		T«n NhÞ Liªn	30702	30663	30791	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 15 (TuÇn)	641	0		T«n NhÞ Liªn	30702	30664	30792	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 16 (TuÇn)	642	0		T«n NhÞ Liªn	30702	30665	30793	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 17 (TuÇn)	643	0		T«n NhÞ Liªn	30702	30666	30794	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 18 (TuÇn)	644	0		T«n NhÞ Liªn	30702	30667	30795	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 19 (TuÇn)	645	0		T«n NhÞ Liªn	30702	30668	30796	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 20 (TuÇn)	646	0		T«n NhÞ Liªn	30702	30669	30797	30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 1 (TuÇn)	647	0		T«n NhÞ Liªn	30702	30670		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 2 (TuÇn)	648	0		T«n NhÞ Liªn	30702	30671		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 3 (TuÇn)	649	0		T«n NhÞ Liªn	30702	30672		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 4 (TuÇn)	650	0		T«n NhÞ Liªn	30702	30673		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 5 (TuÇn)	651	0		T«n NhÞ Liªn	30702	30674		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 6 (TuÇn)	652	0		T«n NhÞ Liªn	30702	30675		30798	1;0	1;0	-1	1000000		
DiÖt §Þch 1 (Ngµy)	653	0		Lý Hoa	30702	30676	30799	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 2 (Ngµy)	654	0		Lý Hoa	30702	30677	30800	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 3 (Ngµy)	655	0		Lý Hoa	30702	30678	30801	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 4 (Ngµy)	656	0		Lý Hoa	30702	30679	30802	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 5 (Ngµy)	657	0		Lý Hoa	30702	30680	30803	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 6 (Ngµy)	658	0		Lý Hoa	30702	30681	30804	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 7 (Ngµy)	659	0		Lý Hoa	30702	30682	30805	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 8 (Ngµy)	660	0		Lý Hoa	30702	30683	30806	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 9 (Ngµy)	661	0		Lý Hoa	30702	30684	30807	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 10 (Ngµy)	662	0		Lý Hoa	30702	30685	30808	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 11 (Ngµy)	663	0		Lý Hoa	30702	30686	30809	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 12 (Ngµy)	664	0		Lý Hoa	30702	30687	30810	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 13 (Ngµy)	665	0		Lý Hoa	30702	30688	30811	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 14 (Ngµy)	666	0		Lý Hoa	30702	30689	30812	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 15 (Ngµy)	667	0		Lý Hoa	30702	30690	30813	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 16 (Ngµy)	668	0		Lý Hoa	30702	30691	30814	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 17 (Ngµy)	669	0		Lý Hoa	30702	30692	30815	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 18 (Ngµy)	670	0		Lý Hoa	30702	30693	30816	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 19 (Ngµy)	671	0		Lý Hoa	30702	30694	30817	30798	1;0	1;0	-1	1000000		
DiÖt §Þch 20 (Ngµy)	672	0		Lý Hoa	30702	30695	30818	30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 1 (Ngµy)	673	0		Lý Hoa	30702	30696		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 2 (Ngµy)	674	0		Lý Hoa	30702	30697		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 3 (Ngµy)	675	0		Lý Hoa	30702	30698		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 4 (Ngµy)	676	0		Lý Hoa	30702	30699		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 5 (Ngµy)	677	0		Lý Hoa	30702	30700		30798	1;0	1;0	-1	1000000		
Th¸m HiÓm 6 (Ngµy)	678	0		Lý Hoa	30702	30701		30798	1;0	1;0	-1	1000000		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	679	1				30703	30820	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	680	1				30704	30821	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	681	1				30705	30822	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	682	1				30706	30823	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	683	1				30707	30824	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	684	1				30708	30825	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	685	1				30709	30826	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	686	1				30710	30827	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	687	1				30711	30828	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	688	1				30712	30829	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	689	1				30713	30830	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	690	1				30714	30831	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-ThÝ LuyÖn	691	1				30715	30832	30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	692	1				30716		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	693	1				30717		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	694	1				30718		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	695	1				30719		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	696	1				30720		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	697	1				30721		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	698	1				30722		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	699	1				30723		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	700	1				30724		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	701	1				30725		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	702	1				30726		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	703	1				30727		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	704	1				30728		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	705	1				30729		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	706	1				30730		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	707	1				30731		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	708	1				30732		30777&30819	1;0	2;0	-1	-1		
NhiÖm Vô S­ M«n Míi-Thu ThËp	709	1				30733		30777&30819	1;0	2;0	-1	-1		
