Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32290	10	40000	0	360	50;50					300031	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32291	10	40000	0	360	50;50					300032	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32292	10	40000	0	360	50;50					300033	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32293	10	40000	0	360	50;50					300034	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32294	10	40000	0	360	50;50					300035	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32295	10	40000	0	360	50;50					300036	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32296	10	40000	0	360	50;50					300037	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32297	10	40000	0	360	50;50					300038	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32298	10	40000	0	360	50;50					300039	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32299	10	40000	0	360	50;50					300040	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32300	10	40000	0	360	50;50					300041	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32301	10	40000	0	360	50;50					300042	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Tèng-Chu T­íc Nguyªn So¸i Kh«i	0	103	32302	10	40000	0	360	50;50					300043	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32303	10	40000	0	360	50;50					300044	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32304	10	40000	0	360	50;50					300045	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32305	10	40000	0	360	50;50					300046	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32306	10	40000	0	360	50;50					300047	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32307	10	40000	0	360	50;50					300048	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32308	10	40000	0	360	50;50					300049	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32309	10	40000	0	360	50;50					300050	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32310	10	40000	0	360	50;50					300051	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32311	10	40000	0	360	50;50					300052	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32312	10	40000	0	360	50;50					300053	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32313	10	40000	0	360	50;50					300054	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32314	10	40000	0	360	50;50					300055	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32315	10	40000	0	360	50;50					300056	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32316	10	40000	0	360	50;50					300057	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32317	10	40000	0	360	50;50					300058	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32318	10	40000	0	360	50;50					300059	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32319	10	40000	0	360	50;50					300060	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32320	10	40000	0	360	50;50					300061	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32321	10	40000	0	360	50;50					300062	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32322	10	40000	0	360	50;50					300063	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32323	10	40000	0	360	50;50					300064	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Liªu-Chu T­íc T­íng Kh«i	0	103	32324	10	40000	0	360	50;50					300065	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32325	10	40000	0	360	50;50					300066	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32326	10	40000	0	360	50;50					300067	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32327	10	40000	0	360	50;50					300068	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32328	10	40000	0	360	50;50					300069	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32329	10	40000	0	360	50;50					300070	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32330	10	40000	0	360	50;50					300071	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32331	10	40000	0	360	50;50					300072	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32332	10	40000	0	360	50;50					300073	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32333	10	40000	0	360	50;50					300074	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32334	10	40000	0	360	50;50					300075	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32335	10	40000	0	360	50;50					300076	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32336	10	40000	0	360	50;50					300077	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32337	10	40000	0	360	50;50					300078	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32338	10	40000	0	360	50;50					300079	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32339	10	40000	0	360	50;50					300080	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32340	10	40000	0	360	50;50					300081	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32341	10	40000	0	360	50;50					300082	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32342	10	40000	0	360	50;50					300083	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32343	10	40000	0	360	50;50					300084	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32344	10	40000	0	360	50;50					300085	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32345	10	40000	0	360	50;50					300086	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Liªu-Chu T­íc Nguyªn So¸i Kh«i	0	103	32346	10	40000	0	360	50;50					300087	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 11,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
MÆt N¹ Ph¸ Hån	0	103	32347	10	40000	0	360	45;45						590						<color=Gold>KiÕm khİ tung hoµnh v¹n dÆm, ¸nh l¹nh rùc s¸ng cöu ch©u		M·o		10;10	1	1		0	999	96	115	81	12
Quang Minh Xİch Háa Qu¸n	0	103	32348	35	40000	0	175	16;16					300089	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	25	0					
Quang Minh Xİch Háa Qu¸n	0	103	32349	35	40000	0	175	16;16					300090	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	25	0					
Quang Minh Xİch Háa Qu¸n	0	103	32350	35	40000	0	175	16;16					300091	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	25	0					
Quang Minh Xİch Háa Qu¸n	0	103	32351	35	40000	0	175	16;16					300092	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	25	0					
Cù Méc L·nh NguyÖt Qu¸n	0	103	32352	35	40000	0	175	16;16					300093	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	27	0					
Cù Méc L·nh NguyÖt Qu¸n	0	103	32353	35	40000	0	175	16;16					300094	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	27	0					
