Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
Yªu quyÕt Phong Binh LÖnh	2	6	199	1	1	1	199	5	1088									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt Bµn Méc TrËn	2	6	200	1	1	1	200	6	1089									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt TÊn ¶nh LÖnh	2	6	201	1	1	1	201	7	1090									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>45<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt Cµn Kh«n NghŞ ChuyÓn	2	6	202	1	1	1	202	8	1091									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Sau khi ®æi lµm cho tèc ®é di chuyÓn môc tiªu gi¶m [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		26	999	
Yªu quyÕt NghiÖp Háa TrËn	2	6	203	1	1	1	203	9	1092									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt Thæ Lao TrËn	2	6	204	1	1	1	204	10	1093									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt Ngò Linh T¸n Nguyªn	2	6	205	1	1	1	205	11	1094									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt Ngò Linh Quy Nguyªn	2	6	206	1	1	1	206	12	1095									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	N©ng cao tû lÖ phßng ngù néi ngo¹i c«ng t¨ng  [<color=Gold>5<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: 		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
§o¹n Cèt Tr¶o QuyÕt YÕu	2	6	207	1	1	1	207	1	1132									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Ph¹m vi xuÊt chiªu më réng [<color=Gold>150<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Phï Th­¬ng Ên	2	6	208	1	1	1	208	2	1133									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Lµm cho môc tiªu trong 3 gi©y cã tèc ®é di chuyÓn gi¶m [<color=Gold>40<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Thanh Dùc Bé Ph¸p	2	6	209	1	1	1	209	3	1134									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	[<color=Gold>75<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: Tû lÖ sau khi sö dông cã tèc ®é di chuyÓn b¶n th©n t¨ng 40%, Duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Bµng HuyÕt Ên	2	6	210	1	1	1	210	4	1135									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt KhÊp HuyÕt Ên	2	6	211	1	1	1	211	5	1136									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Sinh lùc giíi h¹n t¨ng lªn vÜnh viªn [<color=Gold>15<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Hµn HuyÕt Ên	2	6	212	1	1	1	212	6	1137									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>20<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Xİch Cèt Ên	2	6	213	1	1	1	213	7	1138									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Lùc c«ng kİch néi c«ng c¬ b¶n n©ng cao  [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Truy Hån Ên	2	6	214	1	1	1	214	8	1139									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Thªm s¸t th­¬ng c«ng kİch[<color=Gold>1000<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt S¸t Kinh Trao	2	6	215	1	1	1	215	9	1140									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Gi¶m tû lÖ phßng ngù néi c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Hµn B¨ng HuyÕt Ch­¬ng	2	6	216	1	1	1	216	10	1141									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	§iÓm nĞ tr¸nh t¨ng [<color=Gold>500<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt Hãa HuyÕt Ên	2	6	217	1	1	1	217	11	1142									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	X¸c suÊt chèng hçn lo¹n[<color=Gold>45<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî phßng ngù t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
Yªu quyÕt VËn Th­¬ng Ên	2	6	218	1	1	1	218	12	1143									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Tiªu hao sinh lùc b¶n th©n gi¶m  [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Néi kİch  t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		27		999
YÕu quyÕt Khëi Vò	2	6	219	1	1	1	219	1	1166									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	ë tr¹ng th¸i Khëi Vò tû lÖ móa bŞ gi¸n ®o¹n gi¶m [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Linh Miªu VËn	2	6	220	1	1	1	220	2	1167									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	T¨ng s¸t th­¬ng Linh Miªu VËn ®èi víi qu¸i [<color=Gold>150<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Vò V©n T©m Ph¸p	2	6	221	1	1	1	221	3	1168									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	ë tr¹ng th¸i Khëi Vò [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, ®¸nh lui, ®¸nh ng·		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt MŞ Hoa	2	6	222	1	1	1	222	4	1169									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m thêi gian gi·n c¸ch  [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt §o¹n V©n	2	6	223	1	1	1	223	5	1170									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m thêi gian gi·n c¸ch [<color=Gold>4<color=White>] gi©y <color=Blue1>x<color=White> Hç trî phßng ngù mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Thu NguyÖt Vò	2	6	224	1	1	1	224	6	1171									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	KhiÕn phßng ngù ngo¹i c«ng môc tiªu gi¶m [<color=Gold>350<color=White>]<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Thiªn L¹i T©m Kinh	2	6	225	1	1	1	225	7	1172									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Tû lÖ miÔn dŞch lµm chËm [<color=Gold>100<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt §iÖp Uyªn	2	6	226	1	1	1	226	8	1173									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	[<color=Gold>20<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng, khiÕn kÎ thï ®Şnh th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Thiªn Háa DiÖm D­¬ng	2	6	227	1	1	1	227	9	1174									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	T¨ng chİnh x¸c phe ta [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
§¹p V©n X¶o Bé QuyÕt YÕu	2	6	228	1	1	1	228	10	1175									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	[<color=Gold>75<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, khi sö dông cã tû lÖ t¨ng tèc ®é di chuyÓn b¶n th©n [<color=Gold>40<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt Méng Xµ	2	6	229	1	1	1	229	11	1176									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Méng Xµ t¨ng lùc c«ng ngo¹i c«ng b¶n th©n [<color=Gold>100<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng, ®ång thêi khiÕn b¶n th©n vµo tr¹ng th¸i ®Şnh th©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		29		
YÕu quyÕt L¹c Hoa QuyÕt	2	6	230	1	1	1	230	1	1219									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	§ßn cuèi cïng kÌm theo s¸t th­¬ng ®éc duy tr× 10 gi©y [<color=Gold>100<color=White>] ®iÓm <color=Blue1>x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt §µo Hoa Ch­¬ng	2	6	231	1	1	1	231	2	1220									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt B¸ch Hoa T©m Kinh	2	6	232	1	1	1	232	3	1221									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m thêi gian gi·n c¸ch  [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Táa T©m QuyÕt	2	6	233	1	1	1	233	4	1222									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Hoµn ThÇn ThuËt	2	6	234	1	1	1	234	5	1223									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Mçi 1/2 gi©y håi phôc sinh lùc [<color=Gold>100<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù<enter>duy tr× 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Linh §éng QuyÕt	2	6	235	1	1	1	235	6	1224									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Thêi gian duy tr× ®Şnh th©n, gi¶m tèc rót ng¾n [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Mª X¶o QuyÕt	2	6	236	1	1	1	236	7	1225									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Tû lÖ v« hiÖu hçn lo¹n t¨ng [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Tiªn L­ H­¬ng	2	6	237	1	1	1	237	8	1226									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Gi·n c¸ch sö dông rót ng¾n [<color=Gold>45<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt B¸ch §iÖp Nghªnh H­¬ng QuyÕt	2	6	238	1	1	1	238	9	1227									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Ph¹m vi s¸t th­¬ng më réng [<color=Gold>9<color=White>] « <color=Blue1>x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt §iÖp LuyÕn Hoa	2	6	239	1	1	1	239	10	1228									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Phßng ngù néi ngo¹i c«ng t¨ng [<color=Gold>100<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
YÕu quyÕt Ngäc Long Xuyªn NguyÖt	2	6	240	1	1	1	240	11	1229									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Linh Lung Thİch QuyÕt	2	6	241	1	1	1	241	1										\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Linh Tª Truy MÖnh QuyÕt	2	6	242	1	1	1	242	2										\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Sau khi tróng cã [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ khiÕn môc tiªu §Şnh Th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
S¸t ı QuyÕt	2	6	243	1	1	1	243	3										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Tèc ®é xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Bİch L¹c NhÉn QuyÕt	2	6	244	1	1	1	244	4										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Sau khi tróng cã [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ hoµn tr¶ 3 ®iÓm S¸t ı		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Kinh Hång §o¹n QuyÕt	2	6	245	1	1	1	245	5										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>#<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Thª Phong §o¹t QuyÕt	2	6	246	1	1	1	246	6										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Hçn §én §Êu Ph¸ch QuyÕt	2	6	247	1	1	1	247	7										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Gi¶m thêi gian gi·n c¸ch  [<color=Gold>15<color=White>] gi©y <color=Blue1>x<color=White>  Hç trî tÊn c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
To¸i Méng B¨ng QuyÕt	2	6	248	1	1	1	248	8										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Khi thi triÓn c«ng kİch ngo¹i c«ng t¨ng [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
L­u Tinh C¶n NguyÖt QuyÕt	2	6	249	1	1	1	249	9										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	T¨ng tû lÖ xuyªn qua cña ®¹n [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Yªn Vò Mª Li QuyÕt	2	6	250	1	1	1	250	10										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Tû lÖ gi¸n ®o¹n khi dïng kü n¨ng gi¶m [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng<enter>Tû lÖ gi¶m nöa s¸t th­¬ng ph¶i chŞu t¨ng [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Tµn V©n KiÕm Canh QuyÕt	2	6	251	1	1	1	251	1										\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Dïng x¸c suÊt néi ngo¹i c«ng khiÕn phßng ngù trong 10 gi©y gi¶m [<color=Gold>25<color=White>]%<color=Blue1> ?<color=White>tÊn c«ng Ngo¹i C«ng MËt TŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Nh©n KiÕm Hîp NhÊt QuyÕt	2	6	252	1	1	1	252	2										\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Tèc ®é tÊn c«ng t¨ng [<color=Gold>20<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Sİ Hµn QuyÕt	2	6	253	1	1	1	253	3										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng <enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
§o¹n Thñy KiÕm Canh 	2	6	254	1	1	1	254	4										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	§o¹n Thñy KiÕm Canh: KiÕm khİ khiÕn kÎ thï tæn hao thÓ lùc [<color=Gold>5<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Thiªn Minh QuyÕt	2	6	255	1	1	1	255	5										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng <enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Linh KiÕm TriÖu Håi QuyÕt	2	6	256	1	1	1	256	6										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Linh KiÕm TriÖu Håi: Sau khi thi triÓn sÏ nhËn 1 thuÉn hÊp thu [<color=Gold>1000<color=White>]<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng  s¸t th­¬ng, duy tr× 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Phong CËn QuyÕt	2	6	257	1	1	1	257	7										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng<enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
B¹o L«i KiÕm Canh QuyÕt	2	6	258	1	1	1	258	8										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	TÊn c«ng b¶n thÓ g©y thªm [<color=Gold>20<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ TĞ Ng·		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
KiÕm ı X¹ QuyÕt	2	6	259	1	1	1	259	9										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	KĞo dµi thêi gian duy tr× [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
KiÕm Thñ Kh«ng Minh QuyÕt	2	6	260	1	1	1	260	10										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Gi¶m tèc ®é xuÊt chiªu cña kÎ thï [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Håi Phong KiÕm Canh QuyÕt	2	6	261	1	1	1	261	11										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Thêi gian gi·n c¸ch gi¶m  [<color=Gold>15<color=White>] gi©y<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Hãa-Tr¶m Ma §ao Ph¸p	2	6	262	1	1	1	262		24									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xua tan t¨ng 10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-Tr¶m Ma §ao Ph¸p	2	6	263	1	1	1	263		24									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Khi tÊn c«ng cã <color=Gold>25%<color=White> t¨ng <color=Gold>10%<color=White> tÊn c«ng ngo¹i cña b¶n th©n, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
