Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
U Lan HuyÒn V¨n	0	114	48	0	0	3	10						32347	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Gi¸ng Viªm HuyÒn V¨n	0	114	49	0	0	4	10						32347	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Phi §µn HuyÒn V¨n	0	114	50	0	0	5	10						32347	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
T­¬ng Kh­¬ng §iªu Søc	0	115	46	0	0	1	10						32347	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Lôc ThÈm §iªu Søc	0	115	47	0	0	2	10						32347	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
U Lan §iªu Søc	0	115	48	0	0	3	10						32347	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Gi¸ng Viªm §iªu Søc	0	115	49	0	0	4	10						32347	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Phi §µn §iªu Søc	0	115	50	0	0	5	10						32347	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
T­¬ng Kh­¬ng Béi Søc	0	117	46	0	0	1	10						32347	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Lôc ThÈm Béi Søc	0	117	47	0	0	2	10						32347	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
U Lan Béi Søc	0	117	48	0	0	3	10						32347	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Gi¸ng Viªm Béi Søc	0	117	49	0	0	4	10						32347	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Phi §µn Béi Søc	0	117	50	0	0	5	10						32347	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
T­¬ng Kh­¬ng Thiªn V¨n	0	116	51	0	0	1	10						32348	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Lôc ThÈm Thiªn V¨n	0	116	52	0	0	2	10						32348	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
U Lan Thiªn V¨n	0	116	53	0	0	3	10						32348	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Gi¸ng Viªm Thiªn V¨n	0	116	54	0	0	4	10						32348	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Phi §µn Thiªn V¨n	0	116	55	0	0	5	10						32348	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
T­¬ng Kh­¬ng ChiÕn V¨n	0	113	51	0	0	1	10						32348	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Lôc ThÈm ChiÕn V¨n	0	113	52	0	0	2	10						32348	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
U Lan ChiÕn V¨n	0	113	53	0	0	3	10						32348	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Gi¸ng Viªm ChiÕn V¨n	0	113	54	0	0	4	10						32348	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Phi §µn ChiÕn V¨n	0	113	55	0	0	5	10						32348	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
T­¬ng Kh­¬ng HuyÒn V¨n	0	114	51	0	0	1	10						32348	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Lôc ThÈm HuyÒn V¨n	0	114	52	0	0	2	10						32348	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
U Lan HuyÒn V¨n	0	114	53	0	0	3	10						32348	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Gi¸ng Viªm HuyÒn V¨n	0	114	54	0	0	4	10						32348	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Phi §µn HuyÒn V¨n	0	114	55	0	0	5	10						32348	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
T­¬ng Kh­¬ng §iªu Søc	0	115	51	0	0	1	10						32348	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Lôc ThÈm §iªu Søc	0	115	52	0	0	2	10						32348	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
U Lan §iªu Søc	0	115	53	0	0	3	10						32348	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Gi¸ng Viªm §iªu Søc	0	115	54	0	0	4	10						32348	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Phi §µn §iªu Søc	0	115	55	0	0	5	10						32348	99				\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
T­¬ng Kh­¬ng Béi Søc	0	117	51	0	0	1	10						32348	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Lôc ThÈm Béi Søc	0	117	52	0	0	2	10						32348	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
U Lan Béi Søc	0	117	53	0	0	3	10						32348	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Gi¸ng Viªm Béi Søc	0	117	54	0	0	4	10						32348	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
Phi §µn Béi Søc	0	117	55	0	0	5	10						32348	99				\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		6	0	1			999
