T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng_Thanh Long Nguyªn So¸i y	0	100	32166	30	40000	0	360	55;55					32240	790			T©n thñ kh«ng thÓ dïng			ChiÕn bµo do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu_Thanh Long T­íng Qu©n y	0	100	32167	30	40000	0	360	55;55					32242	790			T©n thñ kh«ng thÓ dïng			ChiÕn bµo do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 1,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu_Thanh Long Nguyªn So¸i y	0	100	32168	30	40000	0	360	55;55					32244	790			T©n thñ kh«ng thÓ dïng			ChiÕn bµo do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
ChiÕn Cuång Bµn V©n Bµo	0	100	32169	30	40000	0	250	35;23					32246	79				\image\item\cloth\m1_bd_006a1.spr	\image\item\cloth\m1_bd_006a0.spr	Ao thu thanh tŞnh, ¸nh s¸ng tùa ®ao.	±ê×¼ÄĞ³½ÉßÔÚËêÅÛ	§· khãa		9	1	1	31	0					
ChiÕn Cuång Tr¶m Ma Bµo	0	100	32170	30	40000	0	250	35;23					32247	79				\image\item\cloth\m1_bd_006a1.spr	\image\item\cloth\m1_bd_006a0.spr	Trèng trËn dån vang, ®ao vµng lÊp l¸nh.	±ê×¼ÄĞ³½ÉßÔÚËêÅÛ	§· khãa		9	1	1	32	0					
Xu©n  Y	0	109	1005	10	0	0	360							1	1	1		\image\item\cloth\´ºÒâ°»È»ÒÂ±ê×¼a1.spr	\image\item\cloth\´ºÒâ°»È»ÒÂ±ê×¼a0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	±ê×¼ÄĞ´ºÒâ°»È»ÒÂ	Th­îng y		1	2	1		1	999				
Xu©n  Y	0	109	1006	10	0	0	360							1	1	2		\image\item\cloth\´ºÒâ°»È»ÒÂ¿ıÎàa1.spr	\image\item\cloth\´ºÒâ°»È»ÒÂ¿ıÎàa0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	¿ıÎàÄĞ´ºÒâ°»È»ÒÂ	Th­îng y		1	2	1		1	999				
Xu©n  Y	0	109	1007	10	0	0	360							1	2	3		\image\item\cloth\´ºÒâ°»È»ÒÂĞÔ¸Ğa1.spr	\image\item\cloth\´ºÒâ°»È»ÒÂĞÔ¸Ğa0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	ĞÔ¸ĞÅ®´ºÒâ°»È»ÒÂ	Th­îng y		1	2	1		1	999				
Xu©n  Y	0	109	1008	10	0	0	360							1	2	4		\image\item\cloth\´ºÒâ°»È»ÒÂ½¿Ğ¡a1.spr	\image\item\cloth\´ºÒâ°»È»ÒÂ½¿Ğ¡a0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	½¿Ğ¡Å®´ºÒâ°»È»ÒÂ	Th­îng y		1	2	1		1	999				
VÊn T×nh Y	0	109	1009	10	0	0	360							1	1	1		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	±ê×¼ÄĞÎÊÇéÒÂ	Th­îng y		1	2	1		1	999				
VÊn T×nh Y	0	109	1010	10	0	0	360							1	1	2		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	¿ıÎàÄĞÎÊÇéÒÂ	Th­îng y		1	2	1		1	999				
VÊn T×nh Y	0	109	1011	10	0	0	360							1	2	3		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	ĞÔ¸ĞÅ®ÎÊÇéÒÂ	Th­îng y		1	2	1		1	999				
VÊn T×nh Y	0	109	1012	10	0	0	360							1	2	4		\image\item\cloth\ÊÀ½ç±­ÇòÒÂb1.spr	\image\item\cloth\ÊÀ½ç±­ÇòÒÂb0.spr	Nh×n hoa nhí dung nhan, giã thæi hoa nång nµn.	½¿Ğ¡Å®ÎÊÇéÒÂ	Th­îng y		1	2	1		1	999				
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32171	10	40000	0	360	50;50					32248	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32172	10	40000	0	360	50;50					32249	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32173	10	40000	0	360	50;50					32250	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32174	10	40000	0	360	50;50					32251	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32175	10	40000	0	360	50;50					32252	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32176	10	40000	0	360	50;50					32253	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32177	10	40000	0	360	50;50					32254	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32178	10	40000	0	360	50;50					32255	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32179	10	40000	0	360	50;50					32256	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32180	10	40000	0	360	50;50					32257	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32181	10	40000	0	360	50;50					32258	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32182	10	40000	0	360	50;50					32259	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32183	10	40000	0	360	50;50					32260	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32184	10	40000	0	360	50;50					32261	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32185	10	40000	0	360	50;50					32262	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32186	10	40000	0	360	50;50					32263	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32187	10	40000	0	360	50;50					32264	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32188	10	40000	0	360	50;50					32265	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32189	10	40000	0	360	50;50					32266	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32190	10	40000	0	360	50;50					32267	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32191	10	40000	0	360	50;50					32268	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Tèng-Uy Hæ T­íng Qu©n Y	0	100	32192	10	40000	0	360	50;50					32269	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32193	10	40000	0	360	50;50					32270	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32194	10	40000	0	360	50;50					32271	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32195	10	40000	0	360	50;50					32272	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32196	10	40000	0	360	50;50					32273	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32197	10	40000	0	360	50;50					32274	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32198	10	40000	0	360	50;50					32275	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32199	10	40000	0	360	50;50					32276	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32200	10	40000	0	360	50;50					32277	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32201	10	40000	0	360	50;50					32278	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32202	10	40000	0	360	50;50					32279	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32203	10	40000	0	360	50;50					32280	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32204	10	40000	0	360	50;50					32281	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32205	10	40000	0	360	50;50					32282	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32206	10	40000	0	360	50;50					32283	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32207	10	40000	0	360	50;50					32284	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32208	10	40000	0	360	50;50					32285	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32209	10	40000	0	360	50;50					32286	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32210	10	40000	0	360	50;50					32287	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32211	10	40000	0	360	50;50					32288	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32212	10	40000	0	360	50;50					32289	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32213	10	40000	0	360	50;50					32290	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Tèng-Uy Hæ Nguyªn So¸i Y	0	100	32214	10	40000	0	360	50;50					32291	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 10,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32215	10	40000	0	360	50;50					32292	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32216	10	40000	0	360	50;50					32293	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32217	10	40000	0	360	50;50					32294	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32218	10	40000	0	360	50;50					32295	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32219	10	40000	0	360	50;50					32296	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32220	10	40000	0	360	50;50					32297	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32221	10	40000	0	360	50;50					32298	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32222	10	40000	0	360	50;50					32299	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32223	10	40000	0	360	50;50					32300	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32224	10	40000	0	360	50;50					32301	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Uy Hæ T­íng Qu©n Y	0	100	32225	10	40000	0	360	50;50					32302	790			T©n thñ kh«ng thÓ dïng			Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 6,000,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
