Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu-Chu T­íc T­íng KiÕm (Cao)	0	2	32685	90	18000	0	300	0	429;728	448;775	1	86	300048	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Chu T­íc T­íng CÇm (Cao)	0	10	32686	140	18000	0	300	1	339;556	387;644	1	90	300049	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Chu T­íc T­íng Thñ (Cao)	0	0	32687	50	18000	0	300	0	440;751	385;649	1	90	300050	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Chu T­íc T­íng C«n (Cao)	0	5	32688	200	18000	0	300	0	429;728	225;375	1	84	300051	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Chu T­íc T­íng KiÕm (Cao)	0	2	32689	90	18000	0	300	0	256;463	458;798	1	86	300052	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Chu T­íc T­íng Bót (Cao)	0	9	32690	130	18000	0	300	0	402;685	353;591	1	110	300053	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Chu T­íc T­íng Th­¬ng (Cao)	0	6	32691	130	18000	0	300	0	410;696	216;358	1	95	300054	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Chu T­íc T­íng Cung (Cao)	0	4	32692	130	18000	0	300	1	410;696	216;358	1	86	300055	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Chu T­íc T­íng Song §ao (Cao)	0	7	32693	215	18000	0	300	2	410;696	409;701	1	105	300056	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Chu T­íc T­íng Tr¶o (Cao)	0	11	32694	215	18000	0	300	2	316;520	355;619	1	105	300057	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Chu T­íc T­íng KiÕm (Cao)	0	2	32695	90	18000	0	300	0	256;463	458;798	1	86	300058	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Chu T­íc T­íng §ao (Cao)	0	3	32696	200	18000	0	300	0	410;696	216;358	1	100	300059	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Chu T­íc T­íng Bót (Cao)	0	9	32697	130	18000	0	300	0	410;696	216;358	1	110	300060	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Chu T­íc T­íng Tr¶o (Cao)	0	11	32698	215	18000	0	300	2	256;463	458;798	1	105	300061	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu-Chu T­íc T­íng PhiÕn (Cao)	0	13	32699	140	18000	0	300	0	429;728	277;564	1	87	300062	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu-Chu T­íc T­íng §Şch (Cao)	0	12	32700	130	18000	0	300	0	429;728	139;283	1	87	300063	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu-Chu T­íc T­íng Chñy (Cao)	0	14	32701	90	18000	0	300	2	416;693		1	110	300064	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Liªu-Chu T­íc T­íng KiÕm (Cao)	0	2	32702	90	18000	0	300	0	416;693	416;693	1	110	300065	790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm T­íng hoÆc C«ng Tr¹ng ®¹t ®Õn 4,000,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Chu T­íc Nguyªn So¸i §ao (S¬)	0	3	32703	200	18000	0	300	0	374;633	198;327	1	100		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Chu T­íc Nguyªn So¸i Tr­îng (S¬)	0	8	32704	100	18000	0	300	0	260;474	386;643	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Chu T­íc Nguyªn So¸i Thñ (S¬)	0	0	32705	50	18000	0	300	0	383;653	336;564	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Chu T­íc Nguyªn So¸i Ch©m (S¬)	0	1	32706	50	18000	0	300	0	246;391	134;206	1	80		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (S¬)	0	2	32707	90	18000	0	300	0	234;421	418;726	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Chu T­íc Nguyªn So¸i CÇm (S¬)	0	10	32708	140	18000	0	300	1	297;484	338;561	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Chu T­íc Nguyªn So¸i Thñ (S¬)	0	0	32709	50	18000	0	300	0	383;653	336;564	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Chu T­íc Nguyªn So¸i C«n (S¬)	0	5	32710	200	18000	0	300	0	311;518	166;325	1	84		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (S¬)	0	2	32711	90	18000	0	300	0	234;421	418;726	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Chu T­íc Nguyªn So¸i Bót (S¬)	0	9	32712	130	18000	0	300	0	272;440	147;231	1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Chu T­íc Nguyªn So¸i Th­¬ng (S¬)	0	6	32713	130	18000	0	300	0	231;512	126;267	1	95		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Chu T­íc Nguyªn So¸i Cung (S¬)	0	4	32714	130	18000	0	300	1	282;445	151;233	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Chu T­íc Nguyªn So¸i Song §ao (S¬)	0	7	32715	215	18000	0	300	2	289;474	383;653	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Chu T­íc Nguyªn So¸i Tr¶o (S¬)	0	11	32716	215	18000	0	300	2	289;474	324;564	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (S¬)	0	2	32717	90	18000	0	300	0	234;421	418;726	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Chu T­íc Nguyªn So¸i §ao (S¬)	0	3	32718	200	18000	0	300	0	374;633	198;327	1	100		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Chu T­íc Nguyªn So¸i Bót (S¬)	0	9	32719	130	18000	0	300	0	374;633	198;327	1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Chu T­íc Nguyªn So¸i Tr¶o (S¬)	0	11	32720	215	18000	0	300	2	234;421	418;726	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu-Chu T­íc Nguyªn So¸i PhiÕn (S¬)	0	13	32721	140	18000	0	300	0	391;663	253;513	1	87		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu-Chu T­íc Nguyªn So¸i §Şch (S¬)	0	12	32722	130	18000	0	300	0	391;663	128;259	1	87		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu-Chu T­íc Nguyªn So¸i Chñy (S¬)	0	14	32723	90	18000	0	300	2	397;660		1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (S¬)	0	2	32724	90	18000	0	300	0	397;660	397;660	1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Chu T­íc Nguyªn So¸i §ao (Trung)	0	3	32725	200	18000	0	300	0	409;694	215;357	1	100		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Chu T­íc Nguyªn So¸i Tr­îng (Trung)	0	8	32726	100	18000	0	300	0	391;663	427;739	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Chu T­íc Nguyªn So¸i Thñ (Trung)	0	0	32727	50	18000	0	300	0	260;474	427;739	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Chu T­íc Nguyªn So¸i Ch©m (Trung)	0	1	32728	50	18000	0	300	0	383;653	386;643	1	80		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (Trung)	0	2	32729	90	18000	0	300	0	409;694	427;739	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Chu T­íc Nguyªn So¸i CÇm (Trung)	0	10	32730	140	18000	0	300	1	409;694	346;574	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Chu T­íc Nguyªn So¸i Thñ (Trung)	0	0	32731	50	18000	0	300	0	409;694	344;577	1	90		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Chu T­íc Nguyªn So¸i C«n (Trung)	0	5	32732	200	18000	0	300	0	409;694	215;357	1	84		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (Trung)	0	2	32733	90	18000	0	300	0	246;391	437;761	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Chu T­íc Nguyªn So¸i Bót (Trung)	0	9	32734	130	18000	0	300	0	383;653	336;564	1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Chu T­íc Nguyªn So¸i Th­¬ng (Trung)	0	6	32735	130	18000	0	300	0	391;663	206;342	1	95		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Chu T­íc Nguyªn So¸i Cung (Trung)	0	4	32736	130	18000	0	300	1	391;663	206;342	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Chu T­íc Nguyªn So¸i Song §ao (Trung)	0	7	32737	215	18000	0	300	2	391;663	390;668	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Chu T­íc Nguyªn So¸i Tr¶o (Trung)	0	11	32738	215	18000	0	300	2	297;484	338;561	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Chu T­íc Nguyªn So¸i KiÕm (Trung)	0	2	32739	90	18000	0	300	0	383;653	437;761	1	86		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Chu T­íc Nguyªn So¸i §ao (Trung)	0	3	32740	200	18000	0	300	0	383;653	202;315	1	100		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Chu T­íc Nguyªn So¸i Bót (Trung)	0	9	32741	130	18000	0	300	0	383;653	202;315	1	110		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Chu T­íc Nguyªn So¸i Tr¶o (Trung)	0	11	32742	215	18000	0	300	2	383;653	437;761	1	105		790			T©n thñ kh«ng thÓ dïng			ƒnh bót dµy m­a giã, ®­êng mùc râ v©n m©y<color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 8,100,000)		Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
