Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng-Uy Hæ Nguyªn So¸i LÖnh Kú	0	102	31673	10	1	0	100						32291	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5h1.spr	\image\item\ring\½«¾üÓ¡5h0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31674	10	1	0	100						32270	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31675	10	1	0	100						32271	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31676	10	1	0	100						32272	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31677	10	1	0	100						32273	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31678	10	1	0	100						32274	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31679	10	1	0	100						32275	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31680	10	1	0	100						32276	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31681	10	1	0	100						32277	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31682	10	1	0	100						32278	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31683	10	1	0	100						32279	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31684	10	1	0	100						32280	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31685	10	1	0	100						32281	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31686	10	1	0	100						32282	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31687	10	1	0	100						32283	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31688	10	1	0	100						32284	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31689	10	1	0	100						32285	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31690	10	1	0	100						32286	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31691	10	1	0	100						32287	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31692	10	1	0	100						32288	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31693	10	1	0	100						32289	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31694	10	1	0	100						32290	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Tèng-Uy Hæ Nguyªn So¸i LÖnh Bµi	0	102	31695	10	1	0	100						32291	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÓ¡5i1.spr	\image\item\ring\½«¾üÓ¡5i0120.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm So¸i)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31696	10	1	0	100						32292	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31697	10	1	0	100						32293	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31698	10	1	0	100						32294	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31699	10	1	0	100						32295	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31700	10	1	0	100						32296	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31701	10	1	0	100						32297	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31702	10	1	0	100						32298	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31703	10	1	0	100						32299	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31704	10	1	0	100						32300	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31705	10	1	0	100						32301	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31706	10	1	0	100						32302	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31707	10	1	0	100						32303	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31708	10	1	0	100						32304	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31709	10	1	0	100						32305	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31710	10	1	0	100						32306	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31711	10	1	0	100						32307	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31712	10	1	0	100						32308	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31713	10	1	0	100						32309	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31714	10	1	0	100						32310	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31715	10	1	0	100						32311	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31716	10	1	0	100						32312	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	31	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Bµi	0	102	31717	10	1	0	100						32313	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãa0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	32	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31718	10	1	0	100						32292	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31719	10	1	0	100						32293	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31720	10	1	0	100						32294	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31721	10	1	0	100						32295	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31722	10	1	0	100						32296	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31723	10	1	0	100						32297	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31724	10	1	0	100						32298	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31725	10	1	0	100						32299	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31726	10	1	0	100						32300	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31727	10	1	0	100						32301	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31728	10	1	0	100						32302	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31729	10	1	0	100						32303	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu-Uy Hæ T­íng Qu©n LÖnh Kú	0	102	31730	10	1	0	100						32304	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\ring\5¼¶ÎÆÊÎ¿ãc0.spr	Tø linh thÇn, trÊn bèn ph­¬ng <color=Gold>(CÇn ®¹t qu©n hµm T­íng)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
