T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
Hæ §en-§Ñp	0	105	30110	0	0	0	800							10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	"Hæ §en, th­îng cæ thÇn thó bŞ Hæ ThÇn ®µy ¶i ®Şa giíi, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o Tr¾ng-§Ñp	0	105	30111	0	0	0	800							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	"B¸o Tr¾ng, chóa tÓ vïng nói tuyÕt l«ng vò tr¾ng xãa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o §en-§Ñp	0	105	30112	0	0	0	800							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	"B¸o §en, ®en nh­ mùc nhung, tèc ®é kinh ng­êi,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
B¸o Vµng-§Ñp	0	105	30113	0	0	0	800							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	"Kim TiÒn B¸o, sinh sèng t¹i c¸c vïng nói s©u th¼m hoang s¬, uy dòng phi th­êng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
¤ V©n §¹p TuyÕt-§Ñp	0	105	30114	0	0	0	800							10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	"¤ V©n §¹p TuyÕt, th©n ®en vã b¹c, di chuyÓn tùa TuyÕt §iÓu Xuyªn V©n,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Thó Mét Sõng-§Ñp	0	105	30115	0	0	0	800							10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	"§éc Gi¸c Thó, thÇn thó xinh ®Ñp thuÇn khiÕt, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
BĞ Kim Kú L©n-§Ñp	0	105	30116	0	0	0	2500							10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	Kim Kú L©n B¶o B¶o	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Thñy Kú L©n-§Ñp	0	105	30117	0	0	0	2500							10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	Thñy Kú L©n  B¶o B¶o	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Ngäc Kú L©n-§Ñp	0	105	30118	0	0	0	2500							10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	Ngäc Kú L©n  B¶o B¶o	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Háa Kú L©n-§Ñp	0	105	30119	0	0	0	2500							10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	Háa Kú L©n  B¶o B¶o	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Cæ D­¬ng Thó-§Ñp	0	105	30120	0	0	0	2500							10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	Cæ D­¬ng Thó  B¶o B¶o	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng Vµng-§Ñp	0	105	30121	0	0	0	2500							10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	Kim Mao Ng­u B¶o B¶o	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng §á-§Ñp	0	105	30122	0	0	0	2500							10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	Hång Mao Ng­u B¶o B¶o	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Bß L«ng Lam-§Ñp	0	105	30123	0	0	0	2500							10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	Lam Mao Ng­u B¶o B¶o	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Hæ Tr¾ng-§Ñp	0	105	30124	0	0	0	2500							10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	B¹ch Hæ B¶o B¶o	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Hæ Vµng-§Ñp	0	105	30125	0	0	0	2500							10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	Hoµng Hæ B¶o B¶o	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Hæ §en-§Ñp	0	105	30126	0	0	0	2500							10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	H¾c Hæ B¶o B¶o	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Tr¾ng-§Ñp	0	105	30127	0	0	0	2500							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o §en-§Ñp	0	105	30128	0	0	0	2500							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Vµng-§Ñp	0	105	30129	0	0	0	2500							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ ¤ V©n §¹p TuyÕt-§Ñp	0	105	30130	0	0	0	2500							10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	¤ V©n §¹p TuyÕt B¶o B¶o	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Thó Mét Sõng-§Ñp	0	105	30131	0	0	0	2500							10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	§éc Gi¸c Thó B¶o B¶o	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
Voi ChiÕn-§Ñp	0	105	30132	0	0	0	2500							10				\image\item\horse\³¤Ã«Ïóa1.spr	\image\item\horse\³¤Ã«Ïóa0.spr	"ChiÕn T­îng, thó c­ìi chuyªn dông cña Nguyªn So¸i, uy phong lÉm liÖt, qu©n c«ng ®¹t trªn 25 v¹n ®iÓm cã thÓ c­ìi"	Ïó	M· Bµi	\script\online_activites\silingmount\item\zhanxiang.lua	4	2	1		50000	999
NguyÖt Thè-§Ñp	0	105	30133	0	0	0	2500							10				\image\item\horse\°×ÍÃ×Ó36.spr	\image\item\horse\°×ÍÃ×Ó120.spr	Thá tr¾ng xinh ®Ñp qu¸	°×ÍÃ×Ó	M· Bµi		1	2	1		50000	999
Thá §en-§Ñp	0	105	30134	0	0	0	2500							10				\image\item\horse\ºÚÍÃ×Ó36.spr	\image\item\horse\ºÚÍÃ×Ó120.spr	Thá ®en ngé nghÜnh	ºÚÍÃ×Ó	M· Bµi		1	2	1		50000	999
Thá B«ng-§Ñp	0	105	30135	0	0	0	2500							10				\image\item\horse\»¨ÍÃ×Ó36.spr	\image\item\horse\»¨ÍÃ×Ó120.spr	Thá b«ng ®¸ng yªu qu¸	»¨ÍÃ×Ó	M· Bµi		1	2	1		50000	999
Xe TuÇn Léc-§á	0	105	30136	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁa1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁa0.spr	"Xe TuÇn Léc §á xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ºì£©	M· Bµi		1	2	1		50000	999
Xe TuÇn Léc-Xanh	0	105	30137	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ2a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ2a0.spr	"Xe TuÇn Léc Lôc xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ÂÌ£©	M· Bµi		1	2	1		50000	999
Xe TuÇn Léc-Vµng	0	105	30138	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ3a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ3a0.spr	"Xe TuÇn Léc Vµng xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ÂÌ½ğ£©	M· Bµi		1	2	1		50000	999
Móa L©n-§Ñp	0	105	30139	0	0	0	25000							10				\image\item\horse\ÎèÊ¨a1.spr	\image\item\horse\ÎèÊ¨a0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con l©n s­ ®Ó ng­¬i c­ìi	ÎèÊ¨	M· Bµi		3	2	1		200000	999
BĞ B¸o §en-§Ñp	0	105	30140	0	0	0	2500							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Vµng-§Ñp	0	105	30141	0	0	0	2500							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Tr¾ng-§Ñp	0	105	30142	0	0	0	2500							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
Hoa Sen Xanh-Rùc Rì	0	105	30143	0	0	0	2500							10				\image\item\horse\Á«»¨×ùÀ¶a1.spr	\image\item\horse\Á«»¨×ùÀ¶a0.spr	"Khóc Tr¶o Phï Dung ¸nh Tróc Gia, Lôc Hång T­¬ng û ñng V©n Hµ"	ÇàÁ«»¨	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TÇn ChiÕn Xa-Rùc Rì	0	105	30144	0	0	0	2500							10				\image\item\horse\Õ½³µa1.spr	\image\item\horse\Õ½³µa0.spr	"§©y lµ ChiÕn Xa Thñy Hoµng ®­îc t×m thÊy trong lang mé cña TÇn Thñy Hoµng, mét søc m¹nh bİ Èn gióp nã cã thÓ ®i ngµn dÆm trong mét ngµy."	Ê¼»ÊÕ½³µ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
DiÒu Bay-Rùc Rì	0	105	30145	0	0	0	2500							10				\image\item\horse\feiyuana1.spr	\image\item\horse\feiyuana0.spr	Tinh hoa c¬ quan thuËt cña nhµ C«ng Th©u.	·Éğ°	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Kim Gi¸p S¬n-§Ñp	0	105	30146	0	0	0	2500							10				\image\item\horse\×øÆïÑò3a1.spr	\image\item\horse\×øÆïÑò3a0.spr	"TiÕng tï vµ chiÕn ®Êu næi lªn, H¾c S¬n lµ chiÕn sÜ m¹nh nhÊt cña th¶o nguyªn."	½ğ¼×ºÚÉ½	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TiÓu B¹ch D­¬ng-§Ñp	0	105	30147	0	0	0	2500							10				\image\item\horse\×øÆïÑò1a1.spr	\image\item\horse\×øÆïÑò1a0.spr	TiÓu B¹ch D­¬ng lµ mét con dª kiªu ng¹o.	°×ÑòĞ¡ßã	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Long M·-§Ñp	0	105	30148	0	0	0	2500							10				\image\item\other\¶À½ÇÊŞ36.spr	\image\item\horse\dujiaoshou1200.spr	"TruyÒn thuyÕt long m· bay lªn mÆt s«ng, th©n mang hµ ®å. Long m· tøc lµ thó mét sõng."	¶À½ÇÊŞ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Hoa Sen Tr¾ng-Rùc Rì	0	105	30149	0	0	0	2500							10				\image\item\horse\Á«»¨×ù°×a1.spr	\image\item\horse\Á«»¨×ù°×a0.spr	"B¹ch liªn bÊt nhiÔm trÇn, hîp ch­ëng vi th­¬ng sinh."	°×Á«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hoa Sen §á-Rùc Rì	0	105	30150	0	0	0	2500							10				\image\item\horse\Á«»¨×ùºìa1.spr	\image\item\horse\Á«»¨×ùºìa0.spr	"Hång lien nhiªn tËn xö, nghiÖp háa ®o¹n sinh hån."	ºìÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hoa Sen Tİm-Rùc Rì	0	105	30151	0	0	0	2500							10				\image\item\horse\Á«»¨×ù×Ïa1.spr	\image\item\horse\Á«»¨×ù×Ïa0.spr	"Tö liªn hËn dao d¹, biÖt thŞ vi t­¬ng t­."	×ÏÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Thá Ngäc BŞ B¾t-§Ñp	0	105	30152	0	0	0	2500							10			6	\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·°×ÍÃ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Thá §en BŞ B¾t-§Ñp	0	105	30153	0	0	0	2500							10			6	\image\item\horse\ºÚÍÃ×Ó36lb.spr	\image\item\horse\ºÚÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·ºÚÍÃ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TuÇn Léc-§Ñp	0	105	30154	0	0	0	15000							10				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	TriÖu håi thó c­ìi TuÇn Léc	Ê¥µ®Â¹	M· Bµi		7	2	1		10000	999
Kim Ng­u-§Ñp	0	105	30155	0	0	0	15000							10				\image\item\other\jinniu_a1.spr	\image\item\other\jinniu_a0.spr	TriÖu håi thó c­ìi Kim Ng­u	½ğÅ£	M· Bµi		7	2	1		10000	999
Niªn Thó N¨m Míi-§Ñp	0	105	30156	0	0	0	2500							10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi		3	2	1		50000	999
L¹c §µ Tr¾ng-§Ñp	0	105	30157	0	0	0	2500							10				\image\item\horse\ÂæÍÕ°×a1.spr	\image\item\horse\ÂæÍÕ°×a0.spr	"§­îc gäi lµ ""con tµu trªn sa m¹c"". "	°×ÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ X¸m-§Ñp	0	105	30158	0	0	0	2500							10				\image\item\horse\ÂæÍÕ»Òa1.spr	\image\item\horse\ÂæÍÕ»Òa0.spr	"§­îc gäi lµ ""con tµu trªn sa m¹c"". "	»ÒÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
GÊu Manh Manh-§Ñp	0	105	30159	0	0	0	2500							10				\image\item\horse\ĞÜÃ¨a1.spr	\image\item\horse\ĞÜÃ¨a0.spr	"§©y lµ loµi thó l¹ hiÕm cã, dÜ nhiªn ph¶i dµnh cho ng­êi giái nhÊt."	ĞÜÃ¨ÃÈÃÈ	M· Bµi	\script\item\yujian.lua	8	2	1		200000	999
Lõa Kh¨n §á-§Ñp	0	105	30160	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-³È.spr	\image\item\horse\Ã«Â¿120-³È.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Vµng-§Ñp	0	105	30161	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-»Æ.spr	\image\item\horse\Ã«Â¿120-»Æ.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Lam-§Ñp	0	105	30162	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-À¶.spr	\image\item\horse\Ã«Â¿120-À¶.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Xanh-§Ñp	0	105	30163	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-ÂÌ.spr	\image\item\horse\Ã«Â¿120-ÂÌ.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
C¸o TuyÕt B¶y §u«i-§Ñp	0	105	30164	0	0	0	2500							10			6	\image\item\horse\jiuweihu07a1.spr	\image\item\horse\jiuweihu07a0.spr	"Vïng Thanh Kh©u cã loµi thó l¹, d¸ng nh­ c¸o mµ cã b¶y ®u«i."	ÆßÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt §Şa Cùc-Rùc Rì	0	105	30165	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0136.spr	\image\item\horse\Ñ©ÇÁ01120.spr	Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt Tinh X¶o-Rùc Rì	0	105	30166	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0236.spr	\image\item\horse\Ñ©ÇÁ02120.spr	"Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh tinh x¶o."	Ñ©ÇÁ2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt Hµo Hoa-Rùc Rì	0	105	30167	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0336.spr	\image\item\horse\Ñ©ÇÁ03120.spr	"Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh sang träng."	Ñ©ÇÁ3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt §éc §¸o-Rùc Rì	0	105	30168	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0436.spr	\image\item\horse\Ñ©ÇÁ04120.spr	Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Dª Tr¾ng S÷a-§Ñp	0	105	30169	0	0	0	2500							10				\image\item\horse\×øÆïÑò2a1.spr	\image\item\horse\×øÆïÑò2a0.spr	"Ng­êi ta lµ dª tr¾ng, kh«ng ph¶i dª s÷a nhĞ!"	°×ÑòĞ¡ºÚ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ Tr¾ng-§Ñp	0	105	30170	0	0	0	2500							10				\image\item\horse\°×ÑòÍÕa1.spr	\image\item\horse\°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ §en-§Ñp	0	105	30171	0	0	0	2500							10				\image\item\horse\ºÚ°×ÑòÍÕa1.spr	\image\item\horse\ºÚ°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	ºÚÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ N©u-§Ñp	0	105	30172	0	0	0	2500							10				\image\item\horse\»ÒÑòÍÕa1.spr	\image\item\horse\»ÒÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	»ÒÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ S÷a-§Ñp	0	105	30173	0	0	0	2500							10				\image\item\horse\Èé°×ÑòÍÕa1.spr	\image\item\horse\Èé°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	Èé°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Anh-§Ñp	0	105	30174	0	0	0	2500							10				\image\item\horse\baizelinshou01a1.spr	\image\item\horse\baizelinshou01a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch."	°×ĞÜ1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Hoa-§Ñp	0	105	30175	0	0	0	2500							10				\image\item\horse\baizelinshou02a1.spr	\image\item\horse\baizelinshou02a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch."	°×ĞÜ2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Khuª-§Ñp	0	105	30176	0	0	0	2500							10				\image\item\horse\baizelinshou04a1.spr	\image\item\horse\baizelinshou04a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. Sau khi trang bŞ ®Çy ®ñ vò khİ gi¸p trô, khİ thÕ ngÊt trêi!"	°×ĞÜ4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Bİch Yªn KiÕm-Rùc Rì	0	105	30177	0	0	0	2500							10				\image\item\horse\±ÌÓñº®ÑÌa1.spr	\image\item\horse\±ÌÓñº®ÑÌa0.spr	"§ªm qua giã thu ®Ïo cµnh, mét m×nh lÇu cao, ng¾m ch©n trêi xa th¼m. (TriÖu håi Bİch Yªn KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	±ÌÓñº®ÑÌ½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Long T­êng KiÕm-Rùc Rì	0	105	30178	0	0	0	2500							10				\image\item\horse\ÁúÔ¨»ØÏèa1.spr	\image\item\horse\ÁúÔ¨»ØÏèa0.spr	"C­ìi rång bay l­în, cê xİ rîp trêi, xe tiªn lÊp l¸nh. (TriÖu håi Long T­êng KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	ÁúÔ¨»ØÏè½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Méc Ng­u L­u M·-Rùc Rì	0	105	30179	0	0	0	2500							10				\image\item\horse\Ä¾Å£Á÷Âía1.spr	\image\item\horse\Ä¾Å£Á÷Âía0.spr	"Mét m×nh ®i vµi m­¬i dÆm, lïa theo bÇy ba m­¬i dÆm."	Ä¾Å£Á÷Âí	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Phong Nghª-§Ñp	0	105	30180	0	0	0	2500							10				\image\item\horse\Ê¨×Ó2a1.spr	\image\item\horse\Ê¨×Ó2a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	·çâ¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Linh Nghª-§Ñp	0	105	30181	0	0	0	2500							10				\image\item\horse\Ê¨×Ó3a1.spr	\image\item\horse\Ê¨×Ó3a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Áéâ¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ChiÕn Nghª-§Ñp	0	105	30182	0	0	0	2500							10				\image\item\horse\Ê¨×Ó4a1.spr	\image\item\horse\Ê¨×Ó4a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Õ½â¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¸ch ChiÕn Kim Gi¸p-§Ñp	0	105	30183	0	0	0	2500							10				\image\item\horse\Ê¨×Ó6a1.spr	\image\item\horse\Ê¨×Ó6a0.spr	"VÎ ngoµi nh­ s­ tö, m×nh mang gi¸p vµng, kinh nghiÖm chiÕn ®Êu ®Çy m×nh."	»Æâ¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
H¾c Gi¸p ChiÕn Nghª-§Ñp	0	105	30184	0	0	0	2500							10				\image\item\horse\Ê¨×Ó5a1.spr	\image\item\horse\Ê¨×Ó5a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, m×nh mang gi¸p ®en, oai vÖ dÉn ®Çu mu«ng thó."	°×â¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
